"Date","spy.us"
"10/01/2008","110.38"
"09/30/2008","110.31"
"09/29/2008","105.93"
"09/26/2008","114.94"
"09/25/2008","114.88"
"09/24/2008","113.11"
"09/23/2008","112.75"
"09/22/2008","115.37"
"09/19/2008","118.05"
"09/18/2008","114.19"
"09/17/2008","110.90"
"09/16/2008","116.12"
"09/15/2008","114.21"
"09/12/2008","119.92"
"09/11/2008","119.37"
"09/10/2008","117.66"
"09/09/2008","117.19"
"09/08/2008","120.77"
"09/05/2008","118.33"
"09/04/2008","117.96"
"09/03/2008","121.62"
"09/02/2008","121.73"
"08/29/2008","122.49"
"08/28/2008","123.82"
"08/27/2008","122.33"
"08/26/2008","121.16"
"08/25/2008","120.80"
"08/22/2008","123.30"
"08/21/2008","121.55"
"08/20/2008","121.34"
"08/19/2008","120.77"
"08/18/2008","122.11"
"08/15/2008","123.80"
"08/14/2008","123.20"
"08/13/2008","122.28"
"08/12/2008","123.02"
"08/11/2008","124.31"
"08/08/2008","123.04"
"08/07/2008","120.79"
"08/06/2008","122.62"
"08/05/2008","122.08"
"08/04/2008","118.87"
"08/01/2008","119.99"
"07/31/2008","120.62"
"07/30/2008","122.24"
"07/29/2008","120.10"
"07/28/2008","117.59"
"07/25/2008","119.34"
"07/24/2008","119.37"
"07/23/2008","121.90"
"07/22/2008","121.24"
"07/21/2008","119.88"
"07/18/2008","119.81"
"07/17/2008","119.07"
"07/16/2008","117.89"
"07/15/2008","115.07"
"07/14/2008","116.71"
"07/11/2008","117.78"
"07/10/2008","119.17"
"07/09/2008","118.68"
"07/08/2008","121.01"
"07/07/2008","118.90"
"07/03/2008","120.13"
"07/02/2008","120.00"
"07/01/2008","122.10"
"06/30/2008","121.72"
"06/27/2008","121.29"
"06/26/2008","121.95"
"06/25/2008","125.36"
"06/24/2008","124.77"
"06/23/2008","125.02"
"06/20/2008","125.14"
"06/19/2008","127.84"
"06/18/2008","127.68"
"06/17/2008","128.93"
"06/16/2008","129.56"
"06/13/2008","129.49"
"06/12/2008","127.87"
"06/11/2008","127.38"
